Rk,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jonathan Aranda*,28,TBR,AL,1,6,4,1,2,0,0,1,2,0,0,1,1,.500,.500,1.250,1.750,378,.627,5,0,0,0,1,0,/*3,,arandjo01
2,Junior Caminero,22,TBR,AL,1,6,2,1,1,0,0,0,0,0,0,4,1,.500,.833,.500,1.333,285,.620,1,0,0,0,0,0,/*5,,caminju01
3,Yandy Díaz,34,TBR,AL,1,6,5,1,3,0,0,0,0,0,0,1,0,.600,.667,.600,1.267,260,.559,3,0,0,0,0,0,/*D,,diazya01
4,Jo Adell,27,LAA,AL,1,5,3,1,2,0,0,0,0,0,0,1,0,.667,.800,.667,1.467,318,.633,2,0,1,0,0,0,*/79,,adelljo01
5,Francisco Alvarez,24,NYM,NL,1,5,4,2,2,0,0,1,1,0,0,0,0,.500,.600,1.250,1.850,365,.700,5,0,1,0,0,0,/*2,,alvarfr01
6,Roman Anthony*,22,BOS,AL,1,5,4,1,3,0,0,0,0,0,0,1,1,.750,.800,.750,1.550,340,.670,3,0,0,0,0,0,*/7,,anthoro01
7,Brett Baty*,26,NYM,NL,1,5,5,1,1,0,1,0,3,0,0,0,2,.200,.200,.600,.800,97,.301,3,0,0,0,0,0,/*D,,batybr01
8,Jake Bauers*,30,MIL,NL,1,5,5,2,2,0,0,1,3,0,0,0,2,.400,.400,1.000,1.400,248,.548,5,0,0,0,0,0,*/37,,bauerja01
9,Cody Bellinger*,30,NYY,AL,1,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,13,.184,1,0,0,0,0,0,*/7,,bellico01
10,Carson Benge*,23,NYM,NL,1,5,3,2,1,0,0,1,1,1,0,2,2,.333,.600,1.333,1.933,385,.703,4,0,0,0,0,0,*/9,,bengeca01
11,Mookie Betts,33,LAD,NL,1,5,4,1,1,0,0,0,1,0,0,0,1,.250,.400,.250,.650,77,.334,1,0,1,0,0,0,/*6,,bettsmo01
12,Bo Bichette,28,NYM,NL,1,5,4,0,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,-100,.000,0,0,0,0,1,0,/*5,,bichebo01
13,Alex Bregman,32,CHC,NL,1,5,4,0,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,77,.329,1,0,0,0,0,0,/*5,,bregmal01
14,Alec Burleson*,27,STL,NL,1,5,4,2,3,0,0,1,2,0,0,1,0,.750,.800,1.500,2.300,483,.914,6,0,0,0,0,1,/*3,,burleal01
15,Michael Busch*,28,CHC,NL,1,5,4,2,3,2,0,0,1,0,0,1,0,.750,.800,1.250,2.050,426,.816,5,0,0,0,0,0,/*3,,buschmi02
16,Kerry Carpenter*,28,DET,AL,1,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,0,0,0,0,0,0,*/9,,carpeke01
17,William Contreras,28,MIL,NL,1,5,3,1,1,1,0,0,3,0,0,2,0,.333,.600,.667,1.267,232,.488,2,0,0,0,0,1,/*2,,contrwi02
18,Willson Contreras,34,BOS,AL,1,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-39,.140,0,0,0,0,0,0,/*3,,contrwi01
19,Pete Crow-Armstrong*,24,CHC,NL,1,5,5,0,2,0,0,0,2,0,0,0,2,.400,.400,.400,.800,112,.348,2,0,0,0,0,0,*/8,,crowape01
20,Oneil Cruz*,27,PIT,NL,1,5,5,1,1,0,0,0,0,0,0,0,3,.200,.200,.200,.400,6,.182,1,0,0,0,0,0,*/8,,cruzon01
21,Chase DeLauter*,24,CLE,AL,1,5,5,3,3,0,0,2,2,0,0,0,1,.600,.600,1.800,2.400,551,1.041,9,0,0,0,0,0,*/9,,delauch01
22,Dillon Dingler,27,DET,AL,1,5,5,1,2,0,0,1,3,0,0,0,1,.400,.400,1.000,1.400,282,.612,5,0,0,0,0,0,/*2,,dingldi01
23,Jarren Duran*,29,BOS,AL,1,5,5,0,2,0,0,0,1,1,0,0,1,.400,.400,.400,.800,126,.399,2,0,0,0,0,0,/*D,,duranja01
24,Freddie Freeman*,36,LAD,NL,1,5,4,0,0,0,0,0,0,0,0,1,0,.000,.200,.000,.200,-40,.147,0,0,0,0,0,0,/*3,,freemfr01
